Date,Open,High,Low,Close,Adj Close,Volume
22-12-21,1452.300049,1456,1435.699951,1445.199951,1428.589722,4288742
23-12-21,1453.25,1457.800049,1436.849976,1444.099976,1427.502319,4889583
24-12-21,1445.5,1452,1428,1438.900024,1422.362183,2780512
27-12-21,1428.900024,1454,1422.150024,1450.800049,1434.125488,2352549
28-12-21,1460.699951,1466.900024,1453.400024,1460.800049,1444.010498,2725339
29-12-21,1456.050049,1461,1447.400024,1453.849976,1437.140259,3834351
30-12-21,1458.5,1466.849976,1445,1461.5,1444.702393,3607959
31-12-21,1461.5,1484.800049,1461.5,1479.400024,1462.396729,3162868
03-01-22,1485,1523,1480.5,1519.650024,1502.184082,4534592
04-01-22,1520,1532.900024,1507.800049,1528.550049,1510.981812,4428676
05-01-22,1536.800049,1572,1528.099976,1564.849976,1546.864502,7166319
06-01-22,1543,1554.75,1530.050049,1539.75,1522.053101,4814465
07-01-22,1544,1566.75,1535.900024,1550.550049,1532.729004,5589692
10-01-22,1558,1572,1545.5,1559.150024,1541.230103,4428248
11-01-22,1561.550049,1568.699951,1547.800049,1565.900024,1547.902588,4194599
12-01-22,1568,1576.650024,1552,1556.650024,1538.758789,10542765
13-01-22,1555,1555,1520.400024,1528,1510.43811,20981948
14-01-22,1530,1548.699951,1519,1545.150024,1527.390991,5604484
17-01-22,1530,1556,1519.150024,1521.5,1504.012817,11494686
18-01-22,1533,1550.900024,1523,1529.25,1511.673706,6170576
19-01-22,1534,1539.75,1513.349976,1518.449951,1500.997803,7158813
20-01-22,1528.449951,1528.5,1500.099976,1509,1491.656494,7598923
21-01-22,1500,1529.800049,1485.599976,1521.599976,1504.111694,5768847
24-01-22,1509.949951,1521.25,1467.550049,1486.650024,1469.563354,5934254
25-01-22,1458.650024,1495,1444,1488.050049,1470.947266,6797124
27-01-22,1450,1485,1435,1474.949951,1457.997803,14308919
28-01-22,1477.5,1486.699951,1460,1463.25,1446.432251,12462604
31-01-22,1472.75,1491.550049,1466.800049,1485.699951,1468.624268,6421273
01-02-22,1508.5,1517,1473.449951,1497,1479.794434,7369742
02-02-22,1511.949951,1535,1505.599976,1531.199951,1513.601318,6984645
03-02-22,1528.75,1539.949951,1509,1515.349976,1497.933472,5282381
04-02-22,1528.400024,1532.849976,1514.099976,1524,1506.484131,5789979
07-02-22,1512.099976,1519,1460,1468.150024,1451.276001,6134021
08-02-22,1476.400024,1478.449951,1444.550049,1461.849976,1445.04834,6990565
09-02-22,1474,1499.699951,1467,1497.599976,1480.387451,5654171
10-02-22,1514,1535.5,1501.650024,1525.099976,1507.571411,7157265
11-02-22,1500.25,1525,1499.5,1518.849976,1501.393188,5355552
14-02-22,1490,1499.449951,1469.300049,1473.699951,1456.762207,7328310
15-02-22,1476,1524.900024,1473.050049,1517.800049,1500.355347,6567533
16-02-22,1534.349976,1534.75,1507,1515.75,1498.328857,5016132
17-02-22,1513.099976,1522,1502,1506.5,1489.185181,3675604
18-02-22,1498.300049,1517,1490.449951,1512.349976,1494.967896,3898064
21-02-22,1504,1530.699951,1495.550049,1522.099976,1504.605835,3734033
22-02-22,1489.800049,1522.099976,1487.949951,1510.699951,1493.336914,4768098
23-02-22,1525.099976,1525.699951,1495.650024,1500.900024,1483.649658,4514781
24-02-22,1449.900024,1474.949951,1407.150024,1419.400024,1403.086304,11815383
25-02-22,1439.949951,1465.900024,1432.849976,1456.099976,1439.364502,9159327
28-02-22,1426,1438.550049,1414.050049,1426.25,1409.857544,12440416
02-03-22,1386.5,1398.400024,1354.400024,1374.25,1358.4552,19252780
03-03-22,1381,1392,1362.900024,1371,1355.242554,8763961
04-03-22,1360,1386,1336.900024,1366.5,1350.794312,10609682
07-03-22,1318.5,1332.349976,1297.050049,1324.800049,1309.573608,13527229
08-03-22,1302.199951,1334,1292,1327.800049,1312.539185,19606246
09-03-22,1330,1374.699951,1318.849976,1371.150024,1355.390869,11567347
10-03-22,1427,1427,1380.25,1392.699951,1376.693115,11136603
11-03-22,1388,1408.949951,1372.699951,1396.800049,1380.746094,7575390
14-03-22,1415,1450,1415,1442.550049,1425.970215,12509063
15-03-22,1443.5,1449.5,1411.75,1424,1407.633423,9433964
16-03-22,1447,1455,1436.199951,1448.150024,1431.505859,6682054
17-03-22,1472,1489.800049,1470.550049,1480.050049,1463.039307,7411977
21-03-22,1487,1493.650024,1472.800049,1486.5,1469.415039,6128938
22-03-22,1481.300049,1498,1457.199951,1494.150024,1476.977173,5230907
23-03-22,1507,1518.800049,1473.599976,1479.25,1462.248413,15594128
24-03-22,1466,1469.650024,1434.550049,1442.650024,1426.069092,10080022
25-03-22,1451,1452,1419,1430.900024,1414.454102,8183231
28-03-22,1430.900024,1438,1401.599976,1432.800049,1416.332275,7877443
